Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,ETHNICITY,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_type,sex,SRA Study,TISSUE
SRR8615239,15,RNA-Seq,GCA_000001405.13,202,23454153340,DSMZ:MHH-CALL-2,PRJNA523380,SAMN10988567,Human,12389082905,MHH-CALL-2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),primary,Caucasian,SRX5414514,Illumina HiSeq 2500,cell line,RNASeq-MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:07:00Z,1,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615241,64,RNA-Seq,GCA_000001405.13,202,20745498576,NIBRI,PRJNA523380,SAMN10987902,Human,10985245996,Panc 02.13,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Caucasian,SRX5414512,Illumina HiSeq 2500,cell line,RNASeq-PANC0213_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:56:00Z,1,PANC0213_PANCREAS,cell culture,female,SRP186687,pancreas
SRR8615244,35,RNA-Seq,GCA_000001405.13,202,14085065696,GNF,PRJNA523380,SAMN10987867,Human,7142241080,NUGC-4,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (signet_ring_adenocarcinoma),metastasis,Asian,SRX5414509,Illumina HiSeq 2500,cell line,RNASeq-NUGC4_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:48:00Z,1,NUGC4_STOMACH,cell culture,female,SRP186687,stomach
SRR8615245,69,RNA-Seq,GCA_000001405.13,202,18404540372,ATCC:SW 1271,PRJNA523380,SAMN10987907,Human,9213617117,SW 1271,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5414508,Illumina HiSeq 2500,cell line,RNASeq-SW1271_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:02:00Z,1,SW1271_LUNG,cell culture,male,SRP186687,lung
SRR8615248,68,RNA-Seq,GCA_000001405.13,202,19137906624,ATCC:CCF-STTG1,PRJNA523380,SAMN10988114,Human,10697126514,CCF-STTG1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioma (astrocytoma),primary,Caucasian,SRX5414505,Illumina HiSeq 2500,cell line,RNASeq-CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:58:00Z,1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,cell culture,female,SRP186687,central_nervous_system
SRR8615250,26,RNA-Seq,GCA_000001405.13,202,18152352664,NA,PRJNA523380,SAMN10987887,Human,9633205088,CFPAC-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,Caucasian,SRX5414503,Illumina HiSeq 2500,cell line,RNASeq-CFPAC1_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:58:00Z,1,CFPAC1_PANCREAS,cell culture,male,SRP186687,pancreas
SRR8615251,NA,RNA-Seq,GCA_000001405.13,202,16457224416,NA,PRJNA523380,SAMN10987776,Human,8275391646,CCK-81,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Asian,SRX5414502,Illumina HiSeq 2500,cell line,RNASeq-CCK81_LARGE_INTESTINE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:54:00Z,1,CCK81_LARGE_INTESTINE,cell culture,NA,SRP186687,large_intestine
SRR8615252,47,RNA-Seq,GCA_000001405.13,202,20902416620,ATCC:NCI-H2073,PRJNA523380,SAMN10989581,Human,11114970587,NCI-H2073,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414501,Illumina HiSeq 2500,cell line,RNASeq-NCIH2073_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:04:00Z,1,NCIH2073_LUNG,cell culture,female,SRP186687,lung
SRR8615254,65,RNA-Seq,GCA_000001405.13,202,19073141788,ATCC:NCI-H2052,PRJNA523380,SAMN10987937,Human,9201205653,NCI-H2052,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mesothelioma,metastasis,Caucasian,SRX5414499,Illumina HiSeq 2500,cell line,RNASeq-NCIH2052_PLEURA,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:53:00Z,1,NCIH2052_PLEURA,cell culture,male,SRP186687,pleura
SRR8615255,NA,RNA-Seq,GCA_000001405.13,202,21363941574,ATCC:NCI-H2030,PRJNA523380,SAMN10988239,Human,11254186250,NCI-H2030,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (non_small_cell_carcinoma),metastasis,Caucasian,SRX5414498,Illumina HiSeq 2500,cell line,RNASeq-NCIH2030_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:05:00Z,1,NCIH2030_LUNG,cell culture,male,SRP186687,lung
SRR8615258,68,RNA-Seq,GCA_000001405.13,202,16425596266,ATCC:NCI-H2009,PRJNA523380,SAMN10988519,Human,8228424417,NCI-H2009,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5414495,Illumina HiSeq 2500,cell line,RNASeq-NCIH2009_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:56:00Z,1,NCIH2009_LUNG,cell culture,female,SRP186687,lung
SRR8615259,NA,RNA-Seq,GCA_000001405.13,202,17272909506,NA,PRJNA523380,SAMN10989609,Human,9244899473,NCI-H2004 RT,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414494,Illumina HiSeq 2500,cell line,RNASeq-NCIH2004RT_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:01:00Z,1,NCIH2004RT_SOFT_TISSUE,cell culture,NA,SRP186687,soft_tissue
SRR8615261,68,RNA-Seq,GCA_000001405.13,202,14773549164,ATCC:NCI-H196,PRJNA523380,SAMN10988217,Human,7310162965,NCI-H196,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5414492,Illumina HiSeq 2500,cell line,RNASeq-NCIH196_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:49:00Z,1,NCIH196_LUNG,cell culture,male,SRP186687,lung
SRR8615262,62,RNA-Seq,GCA_000001405.13,202,15646113818,DSMZ:OCI-M1,PRJNA523380,SAMN10989554,Human,7839582387,OCI-M1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M6)",primary,Caucasian,SRX5414491,Illumina HiSeq 2500,cell line,RNASeq-OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:59:00Z,1,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,NA,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615263,NA,RNA-Seq,GCA_000001405.13,202,36788032748,ACADEMIC,PRJNA523380,SAMN10988130,Human,18333190558,OCI-LY3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),primary,Caucasian,SRX5414490,Illumina HiSeq 2500,cell line,RNASeq-OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:59:00Z,1,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,NA,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615265,69,RNA-Seq,GCA_000001405.13,202,26010077520,DSMZ:CAL-33,PRJNA523380,SAMN10988048,Human,14626618790,CAL-33,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5414488,Illumina HiSeq 2500,cell line,RNASeq-CAL33_UPPER_AERODIGESTIVE_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:11:00Z,1,CAL33_UPPER_AERODIGESTIVE_TRACT,cell culture,male,SRP186687,upper_aerodigestive_tract
SRR8615273,19,RNA-Seq,GCA_000001405.13,202,18432294768,DSMZ:CADO-ES1,PRJNA523380,SAMN10988559,Human,10281425911,CADO-ES1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,metastasis,Asian,SRX5414480,Illumina HiSeq 2500,cell line,RNASeq-CADOES1_BONE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:56:00Z,1,CADOES1_BONE,cell culture,female,SRP186687,bone
SRR8615274,65,RNA-Seq,GCA_000001405.13,202,22082180450,RIKEN:EC-GI-10,PRJNA523380,SAMN10987728,Human,12377733102,EC-GI-10,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414479,Illumina HiSeq 2500,cell line,RNASeq-ECGI10_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:04:00Z,1,ECGI10_OESOPHAGUS,cell culture,male,SRP186687,oesophagus
SRR8615277,NA,RNA-Seq,GCA_000001405.13,202,19740738860,HSSRB,PRJNA523380,SAMN10987841,Human,9790575952,HEC-108,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Asian,SRX5414476,Illumina HiSeq 2500,cell line,RNASeq-HEC108_ENDOMETRIUM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:57:00Z,1,HEC108_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
SRR8615279,29,RNA-Seq,GCA_000001405.13,202,20633883274,NA,PRJNA523380,SAMN10988283,Human,10310605940,HD-MY-Z,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (Hodgkin_lymphoma),metastasis,Caucasian,SRX5414474,Illumina HiSeq 2500,cell line,RNASeq-HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:52:00Z,1,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,NA,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615280,74,RNA-Seq,GCA_000001405.13,202,16713103876,DSMZ:HDLM-2,PRJNA523380,SAMN10988513,Human,7636670706,HDLM-2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (Hodgkin_lymphoma),metastasis,Caucasian,SRX5414473,Illumina HiSeq 2500,cell line,RNASeq-HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:59:00Z,1,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615283,65,RNA-Seq,GCA_000001405.13,202,18551489110,KCLB:HCC-95,PRJNA523380,SAMN10987960,Human,9066864566,HCC-95,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5414470,Illumina HiSeq 2500,cell line,RNASeq-HCC95_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:02:00Z,1,HCC95_LUNG,cell culture,male,SRP186687,lung
SRR8615285,58,RNA-Seq,GCA_000001405.13,202,17274193418,DSMZ:EJM,PRJNA523380,SAMN10989569,Human,9341343325,EJM,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",lymphoid_neoplasm (plasma_cell_myeloma),primary,Caucasian,SRX5414468,Illumina HiSeq 2500,cell line,RNASeq-EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:55:00Z,1,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,female,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615289,50,RNA-Seq,GCA_000001405.13,202,18050049764,DSMZ:EFM-19,PRJNA523380,SAMN10988267,Human,9671542852,EFM-19,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,Caucasian,SRX5414464,Illumina HiSeq 2500,cell line,RNASeq-EFM19_BREAST,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:59:00Z,1,EFM19_BREAST,cell culture,female,SRP186687,breast
SRR8615291,69,RNA-Seq,GCA_000001405.13,202,18802999512,DSMZ:EFE-184,PRJNA523380,SAMN10987812,Human,10074398514,EFE-184,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5414462,Illumina HiSeq 2500,cell line,RNASeq-EFE184_ENDOMETRIUM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:01:00Z,1,EFE184_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
SRR8615294,50,RNA-Seq,GCA_000001405.13,202,20004519954,DSMZ:EN,PRJNA523380,SAMN10988280,Human,11199521225,EN,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414459,Illumina HiSeq 2500,cell line,RNASeq-EN_ENDOMETRIUM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:58:00Z,1,EN_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
SRR8615295,NA,RNA-Seq,GCA_000001405.13,202,24285466564,RIKEN:PK-45H,PRJNA523380,SAMN10988107,Human,13069685038,PK-45H,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5414458,Illumina HiSeq 2500,cell line,RNASeq-PK45H_PANCREAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:03:00Z,1,PK45H_PANCREAS,cell culture,NA,SRP186687,pancreas
SRR8615298,67,RNA-Seq,GCA_000001405.13,202,17484493396,ECACC:PE/CA-PJ41 (clone D2),PRJNA523380,SAMN10988012,Human,9413258971,PE/CA-PJ41 (clone D2),BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5414455,Illumina HiSeq 2500,cell line,RNASeq-PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:57:00Z,1,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,cell culture,female,SRP186687,upper_aerodigestive_tract
SRR8615299,60,RNA-Seq,GCA_000001405.13,202,17957920190,ECACC:PE/CA-PJ34 (clone C12),PRJNA523380,SAMN10988009,Human,9638967745,PE/CA-PJ34 (clone C12),BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5414454,Illumina HiSeq 2500,cell line,RNASeq-PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:01:00Z,1,PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,cell culture,male,SRP186687,upper_aerodigestive_tract
SRR8615300,69,RNA-Seq,GCA_000001405.13,202,12874566152,ATCC:DU 145,PRJNA523380,SAMN10988253,Human,6457973317,DU 145,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5414453,Illumina HiSeq 2500,cell line,RNASeq-DU145_PROSTATE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:41:00Z,1,DU145_PROSTATE,cell culture,male,SRP186687,prostate
SRR8615301,NA,RNA-Seq,GCA_000001405.13,202,20043657050,NA,PRJNA523380,SAMN10989619,Human,10688262627,PC9,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414452,Illumina HiSeq 2500,cell line,RNASeq-PC9_LUNG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:03:00Z,1,PC9_LUNG,cell culture,NA,SRP186687,lung
